Name,Category,Film,Win_Oscar?,Year_Ceremony,Birth_Date,Birth_Place,Gender,Race or Ethnicity,Sexual orientation,Religion,Link
Miyoshi Umeki,ACTRESS IN A SUPPORTING ROLE,Sayonara,TRUE,1958,1929-04-03,"Otaro, Hokkaido, Japan",Female,Asian,Straight,Na,/people/091/000063899/
Diane Varsi,ACTRESS IN A SUPPORTING ROLE,Peyton Place,FALSE,1958,1938-02-23,"San Mateo, CA",Female,White,Straight,Na,http://www.nndb.com/people/343/000346302/
David Lean,DIRECTING,The Bridge on the River Kwai,TRUE,1958,1908-03-25,"Croydon, Surrey, England",Male,White,Straight,Na,/people/462/000032366/
Mark Robson,DIRECTING,Peyton Place,FALSE,1958,1913-12-04,"Montreal, Quebec, Canada",Male,White,Na,Na,http://www.nndb.com/people/337/000078103/
Joshua Logan,DIRECTING,Sayonara,FALSE,1958,1908-10-05,"Texarkana, TX",Male,White,Straight,Na,http://www.nndb.com/people/490/000135085/
Sidney Lumet,DIRECTING,12 Angry Men,FALSE,1958,1924-06-25,"Philadelphia, PA",Male,White,Straight,Jewish,http://www.nndb.com/people/978/000022912/
Billy Wilder,DIRECTING,Witness for the Prosecution,FALSE,1958,1906-06-22,"Sucha, Galicia, Austria",Male,White,Straight,Jewish,/people/982/000024910/
Tony Curtis,ACTOR,The Defiant Ones,FALSE,1959,1925-06-03,New York City,Male,White,Bisexual,Jewish,http://www.nndb.com/people/005/000022936/
Paul Newman,ACTOR,Cat on a Hot Tin Roof,FALSE,1959,1925-01-26,"Shaker Heights, OH",Male,White,Straight,Jewish,/people/804/000022738/
David Niven,ACTOR,Separate Tables,TRUE,1959,1909-03-01,"London, England",Male,White,Straight,Na,/people/690/000031597/
Sidney Poitier,ACTOR,The Defiant Ones,FALSE,1959,1927-02-20,"Miami, FL",Male,Black,Straight,Deist,/people/200/000023131/
Spencer Tracy,ACTOR,The Old Man and the Sea,FALSE,1959,1900-04-05,"Milwaukee, WI",Male,White,Straight,Roman Catholic,/people/979/000024907/
Theodore Bikel,ACTOR IN A SUPPORTING ROLE,The Defiant Ones,FALSE,1959,1924-05-02,"Vienna, Austria",Male,White,Straight,Jewish,http://www.nndb.com/people/253/000116902/
Lee J. Cobb,ACTOR IN A SUPPORTING ROLE,The Brothers Karamazov,FALSE,1959,1911-12-08,New York City,Male,White,Straight,Na,http://www.nndb.com/people/525/000051372/
Burl Ives,ACTOR IN A SUPPORTING ROLE,The Big Country,TRUE,1959,1909-06-14,"Hunt City, IL",Male,White,Straight,Na,/people/679/000042553/
Arthur Kennedy,ACTOR IN A SUPPORTING ROLE,Some Came Running,FALSE,1959,1914-02-17,"Worcester, MA",Male,White,Straight,Na,http://www.nndb.com/people/838/000110508/
Gig Young,ACTOR IN A SUPPORTING ROLE,Teacher's Pet,FALSE,1959,1913-11-04,"St. Cloud, MN",Male,White,Straight,Na,/people/110/000063918/
Susan Hayward,ACTRESS,I Want to Live!,TRUE,1959,1918-06-30,"Brooklyn, NY",Female,White,Straight,Roman Catholic,/people/805/000063616/
